                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                   2.31,                   5.86,                0.37487,                 1.8951,                 1.5805,                 2.1194,                0.36902,                0.55452,                0.39595,                 0.0869,                0.31931,                0.49533,                0.24486,                0.03661,                0.50918,                0.56075,                0.51638,                0.22578,                 2.9827,                 5.5071,                0.14972,                 1.6123,                 1.6155,                  2.573,              0.0009208,              0.0009208,              0.0009208
                     19,                 2.2271,                 5.7305,                0.36929,                 1.9044,                 1.5576,                 2.0784,                0.49616,                0.52025,                0.45425,                0.10768,                0.30964,                0.43175,                0.27149,                0.05222,                0.62507,                0.56075,                0.62251,                0.25775,                 2.8841,                 5.3182,                0.13993,                  1.638,                  1.598,                 2.4942,             0.00091585,             0.00091585,             0.00091585
                     20,                 2.1987,                 5.5941,                0.35935,                 1.8596,                 1.4831,                 2.0642,                0.62103,                0.66667,                0.62915,                0.21091,                0.49188,                0.60436,                0.47553,                0.11133,                0.65057,                0.69601,                0.68671,                0.32328,                 2.2885,                 4.8862,                0.14179,                  1.526,                 1.4461,                 2.1434,              0.0009109,              0.0009109,              0.0009109
                     21,                  2.116,                 5.4656,                0.36331,                 1.8066,                 1.4196,                 2.0463,                0.54845,                0.68864,                0.59266,                0.21975,                0.49008,                0.57486,                0.44344,                0.09341,                0.66489,                0.69159,                 0.6351,                0.30566,                 2.3256,                 4.8133,                 0.1353,                 1.5021,                 1.3899,                 2.1255,             0.00090595,             0.00090595,             0.00090595
                     22,                 2.1041,                 5.5081,                0.34827,                 1.8254,                 1.4143,                 1.9922,                0.59253,                 0.7352,                0.66544,                0.26494,                0.54501,                0.62928,                  0.509,                0.12056,                0.62065,                0.68299,                0.65529,                0.28207,                 2.0645,                 4.7911,                0.14096,                 1.4557,                 1.4911,                 2.0408,               0.000901,               0.000901,               0.000901
                     23,                 2.1141,                 5.5453,                0.35488,                 1.8497,                 1.4173,                 1.9659,                0.64122,                0.71651,                 0.7019,                0.26282,                0.58231,                0.62305,                0.59035,                 0.1467,                0.64626,                0.67913,                0.65803,                0.28976,                  2.077,                 4.6355,                0.13698,                 1.4665,                 1.3826,                 2.0199,             0.00089605,             0.00089605,             0.00089605
                     24,                 2.0416,                 5.4709,                0.36877,                 1.7349,                 1.3605,                 1.9631,                0.55897,                0.74143,                0.63795,                0.20323,                0.48746,                0.58879,                0.57605,                0.12212,                 0.7039,                0.72274,                0.74692,                0.34291,                 2.3929,                 4.7255,                0.12904,                 1.4228,                 1.4178,                 2.2105,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.9922,                 5.3432,                 0.3558,                 1.6992,                 1.3521,                 1.9078,                0.64422,                 0.7446,                0.69857,                0.24096,                0.53963,                0.66667,                0.58672,                0.13534,                0.73403,                0.72219,                0.77306,                0.37616,                 2.1608,                 4.6121,                0.12786,                 1.4165,                 1.3415,                 2.0694,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.9336,                 5.1614,                0.35482,                 1.7032,                 1.2829,                 1.9136,                0.69338,                0.75701,                0.70846,                0.23834,                0.66016,                0.70093,                0.67387,                0.16862,                0.79049,                0.74766,                0.75606,                0.33013,                 2.2895,                 4.3843,                0.13278,                 1.4755,                 1.3474,                 2.1058,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.9088,                 5.1047,                0.34838,                  1.678,                 1.2575,                 1.8787,                0.83029,                 0.8078,                0.83892,                0.34843,                0.66336,                0.66044,                0.56769,                0.14137,                0.77288,                0.76947,                0.74479,                0.36219,                 1.8813,                 4.4663,                0.12834,                 1.4299,                 1.2673,                 1.9042,             0.00087625,             0.00087625,             0.00087625
                     28,                  1.817,                 5.0529,                0.35801,                 1.6205,                 1.2231,                 1.8148,                0.76872,                0.75701,                0.78862,                0.31677,                  0.645,                0.72274,                0.64217,                 0.1686,                0.77397,                0.73603,                0.76825,                0.38533,                 1.9773,                 4.2669,                0.12464,                  1.415,                 1.2307,                 1.8793,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.8415,                 5.0818,                0.37483,                 1.6829,                 1.2075,                 1.8035,                0.79933,                 0.8162,                0.79088,                0.30391,                0.78255,                0.80374,                0.77473,                0.22124,                0.88525,                0.84119,                0.84206,                 0.4105,                 2.0627,                 4.1222,                 0.1265,                 1.3746,                 1.2437,                 1.9122,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.7831,                  4.962,                0.36279,                 1.6395,                 1.1777,                 1.7521,                0.86077,                0.82815,                  0.889,                 0.3707,                0.82839,                  0.797,                0.83118,                0.23662,                0.84437,                 0.8113,                0.85476,                0.41217,                 1.8636,                 4.0621,                0.12327,                 1.3659,                 1.1646,                 1.8328,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.8074,                 4.8785,                0.35552,                 1.6428,                 1.1809,                 1.7497,                0.85136,                0.80997,                0.85848,                0.38176,                0.83436,                0.78816,                0.81012,                0.24674,                0.81729,                0.75247,                0.81796,                0.39706,                 1.8069,                 3.9562,                0.12634,                 1.4299,                 1.1719,                 1.8082,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.7855,                 4.7227,                 0.3049,                 1.6653,                 1.1463,                 1.7305,                0.77222,                0.80997,                 0.7898,                0.32936,                0.72385,                0.80997,                0.74373,                0.21529,                0.76617,                0.79128,                0.77736,                 0.3784,                  2.023,                 3.9404,                0.12179,                  1.349,                 1.2399,                 1.9103,              0.0008515,              0.0008515,              0.0008515
                     33,                 1.7756,                 4.8527,                  0.353,                 1.6286,                 1.1446,                 1.7047,                0.79447,                0.86702,                 0.8698,                 0.4426,                0.78984,                 0.8664,                0.84349,                0.30136,                0.79455,                0.86743,                0.85332,                0.40025,                  1.656,                 3.7896,                0.12255,                 1.3264,                 1.1017,                 1.7332,             0.00084655,             0.00084655,             0.00084655
                     34,                 1.7547,                  4.673,                0.33915,                  1.618,                 1.1398,                  1.693,                0.85632,                0.79839,                0.86103,                 0.3577,                0.76603,                0.81931,                0.83402,                0.26935,                0.87209,                0.81308,                0.87347,                 0.4273,                 1.9269,                 3.9587,                0.11966,                 1.3587,                 1.1715,                 1.8087,              0.0008416,              0.0008416,              0.0008416
                     35,                  1.674,                 4.6398,                 0.3296,                 1.5998,                 1.0952,                 1.6453,                0.83824,                0.84112,                0.87996,                0.36271,                0.84879,                0.78694,                0.83219,                0.26496,                0.86895,                0.80563,                0.84709,                0.42619,                 1.9329,                 3.7997,                0.11485,                 1.3224,                   1.14,                 1.8195,             0.00083665,             0.00083665,             0.00083665
                     36,                  1.684,                 4.6331,                0.35256,                 1.5428,                 1.1056,                 1.6676,                0.80862,                0.80293,                0.84651,                0.30076,                0.76156,                 0.7562,                0.74494,                0.20937,                0.82191,                0.77259,                0.81305,                0.42046,                 2.0189,                 3.8895,                0.11492,                 1.2869,                 1.2526,                 1.8585,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.5971,                 4.5503,                0.33306,                 1.5178,                  1.079,                   1.63,                0.82377,                0.85981,                0.86591,                0.36422,                0.81992,                0.85981,                  0.841,                0.28195,                0.81203,                0.85358,                 0.8317,                0.43078,                 1.8565,                 3.6329,                0.11502,                 1.2899,                 1.1618,                 1.7506,             0.00082675,             0.00082675,             0.00082675
                     38,                 1.6159,                 4.4212,                0.33521,                 1.5311,                 1.0624,                 1.6078,                0.85883,                0.87181,                0.87832,                0.41384,                0.87957,                0.88785,                0.90818,                0.30989,                0.87772,                0.88785,                0.88857,                0.48292,                 1.7163,                 3.4699,                0.11495,                 1.2646,                 1.0531,                  1.689,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.6065,                 4.5435,                0.37344,                 1.5634,                 1.0701,                 1.6044,                0.85344,                 0.8785,                0.87877,                0.40912,                0.86529,                0.86604,                0.90032,                 0.2813,                0.90425,                0.88262,                 0.9139,                0.48993,                 1.7449,                 3.5355,                0.11473,                 1.2866,                 1.0452,                  1.718,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.5345,                 4.3617,                0.32611,                 1.5611,                 1.0136,                 1.5471,                0.84375,                0.90654,                0.92278,                0.46764,                0.87879,                 0.8583,                 0.9079,                0.33215,                0.87773,                0.85358,                0.89502,                0.47455,                 1.5738,                 3.3975,                0.11555,                 1.3125,                 1.0015,                 1.6525,              0.0008119,              0.0008119,              0.0008119
                     41,                 1.5385,                 4.3444,                0.32716,                 1.5025,                 1.0036,                  1.555,                0.87131,                0.90696,                0.92378,                0.44282,                 0.8795,                0.90952,                 0.9196,                0.32947,                0.84825,                0.87069,                0.89112,                0.47961,                 1.6556,                 3.3661,                0.11547,                 1.3429,                 1.0002,                 1.6489,             0.00080695,             0.00080695,             0.00080695
                     42,                 1.5059,                 4.2463,                0.30982,                 1.4694,                0.99114,                   1.56,                0.88905,                0.91277,                0.93409,                 0.4918,                0.89084,                0.90966,                0.92754,                0.34437,                0.90762,                 0.9182,                0.92553,                0.52419,                  1.571,                 3.3328,                0.11357,                 1.2384,                0.96293,                 1.6133,               0.000802,               0.000802,               0.000802
                     43,                 1.5166,                 4.2297,                0.32354,                 1.4472,                 1.0031,                 1.5407,                0.88442,                0.90587,                0.92699,                0.46046,                 0.8933,                0.91287,                0.92235,                0.35653,                0.87416,                0.89097,                0.88872,                0.48651,                 1.6566,                 3.2378,                 0.1107,                  1.232,                0.97694,                 1.6379,             0.00079705,             0.00079705,             0.00079705
                     44,                 1.5418,                 4.2468,                0.36065,                 1.4513,                 1.0135,                 1.5611,                0.90007,                0.87227,                0.89348,                0.41643,                0.91343,                0.88474,                0.91545,                0.34915,                0.92076,                0.88474,                0.90922,                0.50073,                 1.7918,                 3.3424,                0.10953,                 1.2561,                 1.0527,                 1.6833,              0.0007921,              0.0007921,              0.0007921
