                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4598,                 8.9205,                0.68655,                 12.109,                 3.9093,                 4.3153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4276,                 8.9813,                0.66366,                 5.2181,                 3.8167,                 4.1599,                0.09802,                  2e-05,                  2e-05
                      2,                 4.7181,                 9.1263,                0.69465,                 13.515,                 3.9783,                 4.3139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4297,                 8.9791,                0.66363,                 5.2176,                 3.8166,                 4.1609,                0.09505,             4.9752e-05,             4.9752e-05
                      3,                 4.3316,                 8.9093,                0.69037,                 10.474,                 3.8581,                 4.2697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.431,                 8.9777,                0.66367,                 5.2184,                 3.8153,                 4.1613,               0.092079,             7.9208e-05,             7.9208e-05
                      4,                 4.6483,                   8.81,                0.65377,                 8.6995,                 3.7418,                 4.1686,                0.00273,                0.11538,                0.00153,                0.00033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8564,                 8.8692,                0.52048,                 5.2374,                 3.4019,                 3.8583,               0.089108,             0.00010837,             0.00010837
                      5,                 4.1324,                 8.6507,                0.55225,                 6.0932,                 3.3243,                 3.8613,                 0.0003,                0.01282,                0.00042,                0.00013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.679,                 8.8227,                0.42472,                 4.9088,                   3.17,                 3.6176,               0.086137,             0.00013723,             0.00013723
                      6,                 4.0943,                 8.5434,                0.50433,                 5.2989,                 3.0821,                 3.6336,                 0.0003,                0.01282,                0.00042,                0.00013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5842,                  8.752,                0.37133,                 4.8077,                 2.9921,                 3.4993,               0.083166,             0.00016579,             0.00016579
                      7,                 4.0948,                 8.5222,                0.48341,                 4.7579,                 3.0561,                  3.565,                 0.0003,                0.01282,                0.00018,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5008,                 8.6575,                0.33024,                 4.7903,                 3.0219,                 3.4269,               0.080194,             0.00019406,             0.00019406
                      8,                 3.8735,                  8.364,                0.44761,                 4.6243,                 2.8066,                 3.4212,                 0.0003,                0.01282,                0.00018,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4718,                 8.6278,                0.31184,                 4.7832,                 3.0208,                 3.4009,               0.077222,             0.00022203,             0.00022203
                      9,                  3.655,                 8.2019,                0.43261,                  4.333,                 2.8469,                 3.4417,                0.00061,                0.02564,                0.00032,                 0.0001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3831,                 8.5279,                0.27757,                 4.6401,                 3.0294,                 3.3485,                0.07425,              0.0002497,              0.0002497
                     10,                 3.5724,                 8.0947,                 0.3986,                 4.0587,                 2.6053,                 3.3665,                 0.0003,                0.01282,                0.00017,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3532,                 8.4761,                 0.2617,                 4.7272,                 3.0193,                 3.3243,               0.071277,             0.00027708,             0.00027708
