                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2502,                 8.6294,                0.59987,                 4.1446,                 2.3727,                 2.5151,                0.58001,                0.44697,                0.48289,                0.22357,                0.12947,                 0.0774,                0.02637,                0.00428,                0.56113,                0.37489,                0.38936,                0.14832,                 1.8487,                 7.7837,                0.52268,                 3.7568,                 1.9927,                 2.2354,               0.067014,             0.00033319,             0.00033319
                      2,                 1.6394,                 7.4957,                0.48096,                  3.405,                 1.7813,                 1.9324,                0.66752,                0.55421,                0.63057,                  0.344,                0.36848,                0.20926,                0.13966,                0.03055,                0.64435,                0.48759,                0.53995,                0.23101,                 1.5545,                 6.6798,                0.48769,                 3.4089,                 1.5856,                 1.8976,                0.03401,             0.00066323,             0.00066323
                      3,                 1.4628,                 6.9033,                0.44503,                 3.0834,                 1.5646,                 1.7396,                0.75884,                0.63491,                0.72639,                0.43477,                0.50129,                0.32437,                0.25344,                0.06529,                0.74301,                0.59534,                0.66497,                0.32612,                 1.3454,                 5.8573,                 0.4211,                  2.951,                 1.4273,                 1.6699,              0.0010039,             0.00098996,             0.00098996
                      4,                 1.3556,                 6.4731,                0.42368,                 2.8937,                 1.4198,                 1.6236,                0.79726,                0.65229,                0.76146,                0.47771,                0.56313,                0.39299,                0.34864,                0.09998,                0.77623,                0.62541,                0.70732,                0.36113,                 1.2572,                 5.4973,                0.40721,                 2.7297,                  1.208,                 1.5574,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.2901,                 6.1747,                0.40952,                  2.773,                 1.3265,                 1.5501,                0.79272,                0.68272,                0.78395,                 0.5112,                0.62511,                0.44461,                0.41088,                0.12799,                0.78715,                0.66174,                0.74037,                0.39586,                 1.1896,                 5.1696,                0.39322,                 2.5807,                 1.1202,                 1.4826,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.2444,                 5.9904,                0.40043,                 2.6811,                 1.2601,                 1.5043,                0.80009,                0.70783,                0.80405,                0.53922,                0.65341,                0.47618,                0.44643,                0.14618,                0.79948,                0.67326,                0.76407,                0.42217,                 1.1429,                 4.9637,                 0.3882,                 2.4886,                 1.0498,                 1.4362,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.2105,                  5.835,                0.39339,                 2.6033,                  1.212,                 1.4699,                0.82935,                0.71787,                0.82091,                0.55434,                0.69993,                 0.4969,                0.49041,                0.16715,                0.82294,                0.69778,                0.78568,                0.43942,                 1.1225,                 4.7442,                0.37398,                 2.4166,                0.98841,                 1.3999,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.1828,                 5.6999,                0.38758,                 2.5416,                 1.1751,                 1.4425,                0.81459,                0.74112,                0.83116,                0.57054,                0.69288,                0.51876,                0.50372,                  0.179,                0.81244,                  0.723,                0.79707,                0.45699,                 1.0831,                 4.6171,                0.37068,                 2.3418,                0.95765,                 1.3714,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.1621,                 5.6119,                0.38223,                 2.5006,                 1.1483,                 1.4229,                0.84454,                0.72851,                0.83874,                0.58363,                0.70461,                0.53117,                0.51968,                0.19627,                0.83886,                0.71344,                0.80324,                0.46967,                 1.0501,                 4.5272,                0.36079,                 2.2757,                0.92122,                  1.341,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.1495,                 5.5286,                 0.3795,                 2.4661,                 1.1248,                 1.4086,                0.84133,                0.74978,                0.84635,                0.59262,                0.71764,                0.55421,                0.54503,                0.20611,                0.83417,                 0.7356,                0.81775,                0.47802,                 1.0359,                 4.4083,                0.35979,                 2.2323,                 0.9044,                 1.3237,              0.0009604,              0.0009604,              0.0009604
