                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4598,                 8.9205,                0.68655,                 12.109,                 3.9093,                 4.3153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4276,                 8.9813,                0.66366,                 5.2181,                 3.8167,                 4.1599,                0.09802,                  2e-05,                  2e-05
                      2,                 4.7181,                 9.1263,                0.69465,                 13.515,                 3.9783,                 4.3139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4297,                 8.9791,                0.66363,                 5.2176,                 3.8166,                 4.1609,                0.09505,             4.9876e-05,             4.9876e-05
                      3,                 4.3316,                 8.9093,                0.69037,                 10.474,                 3.8581,                 4.2697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.431,                 8.9777,                0.66367,                 5.2184,                 3.8153,                 4.1613,                0.09208,             7.9604e-05,             7.9604e-05
                      4,                 4.6487,                 8.8098,                0.65368,                 8.6915,                 3.7407,                 4.1686,                0.00182,                0.07692,                0.00099,                0.00026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8574,                  8.875,                0.52064,                 5.2326,                 3.4031,                 3.8583,               0.089109,             0.00010918,             0.00010918
                      5,                 4.1388,                 8.6622,                0.55081,                 6.1693,                 3.3221,                 3.8665,                 0.0003,                0.01282,                0.00037,                0.00011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6796,                 8.8273,                0.42511,                 4.8994,                 3.1689,                 3.6176,               0.086139,             0.00013861,             0.00013861
                      6,                 4.0971,                 8.5312,                0.50392,                 5.2581,                 3.0901,                 3.6285,                 0.0003,                0.01282,                0.00017,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.582,                 8.7481,                0.37005,                 4.7707,                 3.0465,                 3.4986,               0.083168,              0.0001679,              0.0001679
                      7,                 4.0882,                 8.5235,                0.48292,                 4.7809,                 3.0552,                 3.5638,                 0.0003,                0.01282,                0.00017,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5045,                 8.6694,                0.32886,                 4.7733,                 3.0161,                 3.4271,               0.080197,             0.00019703,             0.00019703
                      8,                 3.8716,                 8.3549,                0.44527,                 4.6255,                   2.81,                 3.4231,                 0.0003,                0.01282,                0.00017,                  9e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4726,                 8.6369,                0.31024,                 4.7473,                 3.0201,                 3.4025,               0.077226,             0.00022602,             0.00022602
                      9,                 3.6635,                 8.2117,                0.43128,                 4.3493,                 2.8685,                 3.4383,                 0.0003,                0.01282,                0.00017,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3951,                 8.5305,                0.27554,                 4.6725,                 3.0378,                  3.354,               0.074255,             0.00025485,             0.00025485
                     10,                 3.5855,                 8.1142,                0.39745,                 4.1405,                 2.6212,                  3.374,                 0.0003,                0.01282,                0.00017,                  3e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3595,                 8.4781,                0.25954,                 4.7642,                 3.0347,                 3.3285,               0.071284,             0.00028354,             0.00028354
                     11,                 3.7924,                 8.1645,                0.41995,                 4.0182,                 2.5018,                 3.3077,                 0.0003,                0.01282,                0.00017,                  6e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3231,                 8.3821,                0.23265,                 4.8709,                 3.1073,                 3.2948,               0.068312,             0.00031208,             0.00031208
                     12,                 3.7596,                 7.9795,                0.41897,                  3.736,                 2.4318,                 3.3137,                 0.0003,                0.01282,                0.00017,                  8e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3118,                 8.3386,                0.22285,                 5.0329,                 3.1028,                 3.2785,                0.06534,             0.00034047,             0.00034047
                     13,                 3.4906,                 7.8162,                0.42136,                 3.5181,                 2.2669,                 3.2016,                0.00182,                0.07692,                  0.001,                0.00026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2385,                 8.2363,                0.22322,                 5.0822,                 3.2756,                 3.1644,               0.062369,             0.00036871,             0.00036871
                     14,                 3.6138,                 7.7992,                0.41465,                 3.2403,                 2.2391,                 3.1547,                0.01212,                0.51282,                0.00922,                0.00307,                 0.0003,                0.01282,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                 3.1809,                 8.2067,                 0.2278,                 5.1237,                 3.2956,                 3.0778,               0.059397,             0.00039681,             0.00039681
                     15,                  3.658,                 7.6564,                0.29212,                 3.1893,                 2.1245,                 3.0529,                0.01242,                0.52564,                0.00992,                 0.0035,                 0.0003,                0.01282,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                 3.1026,                 8.1446,                0.22832,                 5.5036,                  3.426,                  2.969,               0.056425,             0.00042475,             0.00042475
                     16,                 3.5112,                 7.6039,                 0.3875,                 2.9743,                 2.1001,                 3.0487,                0.01212,                0.51282,                0.00975,                0.00312,                 0.0003,                0.01282,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                 3.0745,                 8.1182,                  0.228,                 5.6541,                 3.4844,                 2.9385,               0.053453,             0.00045255,             0.00045255
                     17,                 3.4505,                 7.8494,                0.47227,                 2.9127,                 2.2573,                 3.0452,                0.01182,                    0.5,                0.00957,                0.00325,                 0.0003,                0.01282,                0.00015,                  2e-05,                      0,                      0,                      0,                      0,                 3.0333,                 8.0875,                0.21832,                 6.0211,                 3.5086,                 2.8936,                0.05048,              0.0004802,              0.0004802
                     18,                 3.4574,                 7.6254,                0.35398,                 2.7622,                 2.0486,                  2.902,                0.01242,                0.52564,                0.01099,                0.00361,                 0.0003,                0.01282,                0.00016,                  2e-05,                      0,                      0,                      0,                      0,                 3.0023,                 8.0922,                0.21732,                 6.3416,                  3.565,                 2.8624,               0.047508,              0.0005077,              0.0005077
                     19,                 3.4154,                 7.4834,                0.34226,                 2.7304,                 2.0156,                 2.8693,                0.01242,                0.52564,                0.01122,                0.00386,                 0.0003,                0.01282,                0.00016,                  2e-05,                      0,                      0,                      0,                      0,                 2.9745,                 8.0898,                0.21389,                 6.4956,                 3.5999,                  2.838,               0.044535,             0.00053505,             0.00053505
                     20,                 3.3269,                 7.5657,                0.41642,                 2.6264,                 1.9723,                 2.8466,                0.01407,                0.53846,                0.01383,                0.00461,                0.00033,                0.01282,                0.00017,                  2e-05,                      0,                      0,                      0,                      0,                 2.9495,                 8.0886,                0.21183,                 6.4357,                 3.6164,                   2.82,               0.041562,             0.00056226,             0.00056226
                     21,                 3.2374,                 7.4906,                0.35929,                 2.5782,                 1.9695,                 2.8443,                0.00097,                0.01282,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9259,                 8.0886,                0.20883,                 6.3243,                 3.6397,                 2.8013,               0.038589,             0.00058931,             0.00058931
                     22,                 3.2662,                  7.495,                 0.3886,                 2.5703,                 1.9303,                  2.798,                0.00159,                0.01282,                0.00105,                0.00011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9073,                 8.0839,                  0.207,                 6.2515,                 3.6555,                 2.7817,               0.035616,             0.00061622,             0.00061622
                     23,                 3.1569,                 7.3574,                0.32337,                 2.5265,                 1.8576,                 2.7355,                0.00752,                0.05128,                0.00403,                 0.0013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8853,                 8.0803,                0.20581,                 6.1552,                 3.6311,                 2.7624,               0.032643,             0.00064297,             0.00064297
                     24,                 3.1327,                 7.4425,                 0.3587,                 2.4763,                 1.9385,                 2.7488,                0.03515,                0.39744,                0.03806,                0.01064,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8794,                 8.0684,                0.20253,                 6.0139,                 3.6166,                 2.7581,                0.02967,             0.00066958,             0.00066958
                     25,                 3.0494,                 7.4843,                0.35048,                 2.4939,                  1.861,                 2.6709,                0.04065,                0.51282,                0.07702,                0.02196,                0.00102,                0.01282,                0.00054,                  5e-05,                      0,                      0,                      0,                      0,                 2.8698,                 8.0648,                0.19947,                 5.8924,                 3.6028,                 2.7562,               0.026696,             0.00069604,             0.00069604
